Condition,LD1,LD2,LD3,LD4,LD5,LD6,LD7
Flow Only,4.551860579,7.029727706,-8.521894378,-0.621537881,-8.1681644,-4.666759446,-5.895578894
Flow Only,4.335536752,6.782083214,-7.588792274,-1.0661353,-9.072339263,-3.721067218,-5.612155275
Flow Only,4.937050668,7.460473113,-7.865122604,-0.643066678,-8.918849987,-3.289339188,-5.519553525
Flow Only,4.490352364,7.172290268,-8.523835377,-0.768890483,-8.19167297,-4.526653781,-4.518062461
Flow Only,-1.940292159,-7.037694037,1.576790658,-1.515463899,-1.400378647,-0.786772196,-3.947849795
Flow Only,-2.698272554,-5.631247147,3.676433174,-0.898685864,-2.135100946,-1.671029494,-3.010046036
Flow Only,-0.772339021,-6.681276627,3.502789094,-1.46097894,-2.670597033,-0.769519139,-2.99559019
Flow Only,-1.247606531,-7.718025724,1.181169656,-0.500924047,-1.995434175,-4.292296555,-1.680369544
Flow Only,-1.322767525,-7.953208457,1.511622756,-0.880402825,-1.579159182,-1.387055279,-2.337846839
Flow Only,-4.552743748,5.911489116,-5.162838002,-1.472683007,0.552701386,1.821985515,-0.82230617
Flow Only,-2.77316864,5.447506875,-7.060443477,1.433846512,0.552857592,4.088049283,-0.130925968
Flow Only,-2.443704365,6.571484103,-6.002142307,0.487057019,-1.893801091,1.849314738,0.419682222
Flow Only,-2.643685292,5.748990244,-4.627955358,0.382724818,-1.097258491,0.820150258,-2.161803167
Flow Only,-3.108751298,7.17000397,-6.408013843,1.598969356,-0.067311,1.703826835,-3.106913028
Flow Only,-3.375728855,8.585671456,-5.391062969,1.543962275,-0.015886682,1.378384319,-0.281210717
Flow Only,0.474304512,9.096456354,0.206745786,-2.66684784,3.754647529,-2.625472386,-0.262473841
Flow Only,1.297532356,10.29916901,0.743666048,-1.343369466,4.460434662,-1.032627415,1.021747434
Flow Only,1.265405,8.927571826,-1.092181499,-3.194585546,2.249812795,-1.887617335,0.690076229
Flow Only,1.690174723,8.127114966,1.867202403,-3.903393379,1.876448766,-2.443718674,-0.46026318
Flow Only,2.230901375,9.57604086,0.815717624,-1.32493858,3.841377096,-4.007590808,0.441329081
Flow Only,2.544088414,9.882504319,0.526339816,-1.856402327,1.025142043,-1.504040251,0.31223237
Flow Only,2.809099633,4.657002646,-0.030365973,-0.719220771,0.323333823,-0.34043682,2.683439289
Flow Only,2.036923937,2.649178066,-0.44170669,2.073333006,1.261827402,-0.085268155,2.287217806
Flow Only,0.880159223,3.262483559,0.179050495,0.199777296,-0.393206838,2.968583122,0.530309918
Flow Only,1.697590486,4.971320459,0.761564991,-0.192430422,2.109113359,2.016532214,2.815149333
Flow Only,3.146491303,2.570129462,1.378648754,0.121570438,2.548343847,0.374540921,1.6790961
Flow Only,1.319290324,4.817524939,-0.53638196,0.432854846,1.477928259,0.725798526,0.056166627
Flow Only,0.992623453,0.352723704,-4.41248069,-1.599707382,1.21644671,-2.462994807,3.67641126
Flow Only,0.536706408,0.964189218,-4.775956233,-3.371036227,1.283736181,-1.140286021,3.775487765
Flow Only,0.262950263,0.51078978,-5.655208743,-1.48507439,-0.069993091,-1.429405586,2.940547902
Flow Only,0.112205832,0.044477291,-5.097524398,-0.181722355,0.285997615,-2.722039901,2.244999539
Flow Only,0.272043752,-0.626208635,-5.088718821,-1.574920038,1.127340086,-2.593650421,2.484119036
Flow Only,0.73976115,0.912883539,-4.323121327,-1.914541415,-0.112899228,-1.799076916,3.183540661
Flow Only,7.71053673,-5.53771841,0.11332675,1.865647868,-4.397368102,1.903348264,5.112870754
Flow Only,6.014919812,-3.434669818,-0.642889504,1.405803081,-4.448434854,3.749630104,3.667448558
Flow Only,6.049500668,-2.447017848,0.757853485,-0.090387907,-5.20827971,2.092621904,3.409526576
Flow Only,5.420058068,-4.487135114,1.61167727,1.571845126,-3.537752463,2.173653421,3.471678719
